"title","year","certificate","runtime","genre","filmcontent","director__001","director__002","director__003","gross"
"Wings","1927","PG-13","144","Drama, Romance, War","Two young men, one rich, one middle class, who are in love with the same woman, become fighter pilots in World War I.","William A. Wellman","Harry d'Abbadie d'Arrast","","6.59"
"The Broadway Melody","1929","Passed","100","Drama, Musical, Romance","A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.","Harry Beaumont","","","2.81"
"All Quiet on the Western Front","1930","Not Rated","136","Drama, War","A young soldier faces profound disillusionment in the soul-destroying horror of World War I.","Lewis Milestone","","","3.27"
"Cimarron","1931","Passed","123","Drama, Western","A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.","Wesley Ruggles","","","Votes:\n                4,644"
"Grand Hotel","null","Not Rated","112","Drama, Romance","A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.","Edmund Goulding","","","1.24"
"Cavalcade","1933","Passed","112","Drama, Romance, War","The triumphs and tragedies of two English families, the upper-crust Marryots and the working-class Bridges, from 1899 to 1933 are portrayed.","Frank Lloyd","","","7.63"
"It Happened One Night","1934","Not Rated","105","Comedy, Romance","A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.","Frank Capra","","","4.36"
"Mutiny on the Bounty","1935","Not Rated","132","Adventure, Biography, Drama","A tyrannical ship captain decides to exact revenge on his abused crew after they form a mutiny against him, but the sailor he targets had no hand in it.","Frank Lloyd","","","Votes:\n                18,620"
"The Great Ziegfeld","1936","Not Rated","176","Biography, Drama, Musical","The ups and downs of Florenz Ziegfeld Jr., famed producer of extravagant stage revues, are portrayed.","Robert Z. Leonard","","","Votes:\n                6,235"
"The Life of Emile Zola","1937","Not Rated","116","Biography, Drama","The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfuss Affair.","William Dieterle","","","Votes:\n                6,115"
"You Can't Take It with You","1938","Passed","126","Comedy, Drama, Romance","A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.","Frank Capra","","","4.66"
"Gone with the Wind","1939","Passed","238","Drama, History, Romance","A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.","Victor Fleming","George Cukor","Sam Wood","198.68"
"Rebecca","1940","Not Rated","130","Drama, Mystery, Romance","A self-conscious bride is tormented by the memory of her husband's dead first wife.","Alfred Hitchcock","","","4.36"
"How Green Was My Valley","1941","Not Rated","118","Drama, Family","At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.","John Ford","","","Votes:\n                18,613"
"Mrs. Miniver","1942","Not Rated","134","Drama, Romance, War","A British family struggles to survive the first months of World War II.","William Wyler","","","13.50"
"Casablanca","1942","PG","102","Drama, Romance, War","A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.","Michael Curtiz","","","1.02"
"Going My Way","1944","Passed","126","Comedy, Drama, Music","Father Charles O'Mailey, a young priest at a financially failing Church in a tough neighborhood, gains support and inspires his superior.","Leo McCarey","","","16.30"
